Date,City,Temperature,Precipitation,Wind Speed,Humidity
2022-06-27,Chicago,12.4,39.8,16.2,24.6
2022-07-04,Phoenix,21.2,90.2,7.0,46.0
2023-03-11,Houston,26.0,38.7,15.3,40.9
2021-04-07,Los Angeles,19.2,44.4,21.1,96.2
2022-08-24,New York,30.7,87.1,8.7,40.3
2023-08-04,Chicago,9.3,4.6,21.5,32.6
2023-09-17,Phoenix,-4.4,32.8,21.4,33.1
2022-02-07,New York,15.3,98.6,14.9,43.8
2020-11-19,Houston,2.7,94.0,25.1,56.4
2020-01-05,Phoenix,-7.4,85.8,26.4,96.5
2023-06-02,Houston,-6.1,67.2,27.0,90.7
2021-07-12,Los Angeles,26.6,43.1,26.5,12.8
2021-04-08,Chicago,17.7,2.2,23.1,15.4
2023-03-01,Phoenix,26.7,36.2,12.7,76.6
2022-08-02,Phoenix,19.4,94.3,6.5,68.2
2022-09-18,Los Angeles,8.8,60.0,1.8,46.1
2021-02-22,Los Angeles,20.8,36.7,7.8,90.3
2020-09-16,Houston,19.9,55.5,3.3,12.2
2022-10-07,Phoenix,8.7,12.4,3.3,94.4
2021-04-29,Houston,29.1,65.8,7.4,5.2
2021-01-21,Phoenix,8.7,21.8,15.3,13.5
2021-04-05,Houston,-3.1,38.9,11.7,2.6
2021-02-22,Los Angeles,4.0,89.5,2.6,16.9
2022-07-04,Los Angeles,24.0,95.9,16.7,75.1
2021-11-24,Los Angeles,33.7,8.1,6.8,57.1
2021-04-11,Phoenix,-4.4,57.5,11.6,98.8
2023-11-29,New York,36.8,87.7,6.1,99.2
2023-04-23,Chicago,-7.4,34.8,15.1,93.4
2021-05-22,Chicago,1.7,0.7,30.0,82.6
2021-05-15,Houston,7.5,85.5,11.9,29.1
2023-05-24,New York,38.0,44.0,28.3,24.3
2021-11-29,New York,0.7,17.3,13.1,48.1
2023-08-27,Los Angeles,35.7,76.7,4.2,85.7
2022-06-28,Phoenix,38.5,50.2,15.9,67.0
2023-09-27,New York,24.0,65.2,13.2,26.9
2021-02-20,Phoenix,16.0,15.5,25.7,95.3
2023-06-06,Houston,36.7,99.7,7.9,42.7
2020-06-08,Chicago,4.9,81.7,1.0,95.5
2020-01-10,Phoenix,12.9,94.1,9.0,32.4
2023-12-30,Phoenix,21.2,64.5,13.3,1.0
2021-03-17,New York,-6.2,93.3,7.6,62.8
2021-12-04,Phoenix,0.2,68.1,28.8,40.2
2020-02-16,New York,36.9,29.8,13.1,49.0
2021-05-06,Phoenix,25.7,75.8,13.0,28.2
2023-11-12,Chicago,-1.3,89.4,7.9,4.7
2021-05-06,New York,8.4,52.6,1.4,33.5
2020-06-17,Houston,17.7,28.4,20.8,72.0
2022-05-07,Chicago,20.2,25.8,23.4,31.2
2020-08-28,New York,33.2,91.4,6.7,68.8
2022-04-26,New York,5.2,42.3,1.8,5.8
2021-02-26,Los Angeles,-1.3,47.9,29.9,65.4
